review_id,product_category,product_name,user_id,review_title,review_text,rating,verified_purchase,helpful_votes,sentiment
1,Electronics,Laptop,U7331,Terrible,Really disappointed with the Laptop.,4,Yes,20,Positive
2,Fashion,Sneakers,U2623,Loved it,"The Sneakers is amazing, I love it!",2,Yes,19,Negative
3,Electronics,Laptop,U9695,Okay,The Laptop stopped working after a week.,1,No,27,Negative
4,Fashion,Jeans,U8028,Terrible,The Jeans stopped working after a week.,3,No,5,Neutral
5,Books,Cookbook,U9882,Loved it,Decent Cookbook for the price point.,5,Yes,14,Positive
6,Books,Cookbook,U8981,Great!,Decent Cookbook for the price point.,3,No,19,Neutral
7,Fashion,Sneakers,U8976,Not good,Exceeded my expectations! Great Sneakers.,4,Yes,18,Positive
8,Fashion,Jeans,U6620,Okay,The Jeans stopped working after a week.,1,Yes,31,Negative
9,Electronics,Bluetooth Speaker,U6448,Okay,Exceeded my expectations! Great Bluetooth Speaker.,3,Yes,30,Neutral
10,Home & Kitchen,Blender,U7687,Loved it,The Blender stopped working after a week.,3,No,17,Neutral
11,Home & Kitchen,Microwave Oven,U2045,Not good,I use this Microwave Oven every day and it’s fantastic.,4,No,18,Positive
12,Books,Fiction Novel,U7524,Okay,Decent Fiction Novel for the price point.,5,No,25,Positive
13,Home & Kitchen,Coffee Maker,U8641,Terrible,"The Coffee Maker works okay, but could be better.",4,No,45,Positive
14,Electronics,Smartphone,U2324,Not good,Exceeded my expectations! Great Smartphone.,2,Yes,46,Negative
15,Home & Kitchen,Coffee Maker,U9192,Terrible,"The Coffee Maker works okay, but could be better.",2,Yes,7,Negative
16,Beauty,Lipstick,U9726,Loved it,"The Lipstick is amazing, I love it!",3,No,36,Neutral
17,Home & Kitchen,Vacuum Cleaner,U8897,Loved it,Exceeded my expectations! Great Vacuum Cleaner.,2,No,16,Negative
18,Home & Kitchen,Air Fryer,U6589,Not good,Exceeded my expectations! Great Air Fryer.,5,Yes,19,Positive
19,Beauty,Perfume,U9675,Okay,"The Perfume works okay, but could be better.",4,Yes,31,Positive
20,Home & Kitchen,Blender,U2560,Not good,I use this Blender every day and it’s fantastic.,5,No,46,Positive
21,Fashion,T-shirt,U4657,Okay,I use this T-shirt every day and it’s fantastic.,5,No,3,Positive
22,Beauty,Shampoo,U9499,Great!,"The Shampoo is amazing, I love it!",1,Yes,36,Negative
23,Electronics,Smartwatch,U7946,Not good,Decent Smartwatch for the price point.,5,Yes,6,Positive
24,Beauty,Shampoo,U5201,Terrible,"The Shampoo is amazing, I love it!",2,Yes,34,Negative
25,Books,Self-help Book,U7957,Okay,Decent Self-help Book for the price point.,2,Yes,31,Negative
26,Beauty,Face Cream,U7498,Loved it,"The Face Cream works okay, but could be better.",5,Yes,46,Positive
27,Electronics,Wireless Headphones,U2028,Okay,"Not worth the money, poor quality Wireless Headphones.",5,No,36,Positive
28,Home & Kitchen,Vacuum Cleaner,U4487,Okay,I use this Vacuum Cleaner every day and it’s fantastic.,1,No,15,Negative
29,Fashion,Sneakers,U4084,Not good,"The Sneakers works okay, but could be better.",5,No,19,Positive
30,Books,Self-help Book,U2449,Terrible,The Self-help Book stopped working after a week.,5,Yes,41,Positive
31,Fashion,Handbag,U6033,Terrible,"The Handbag is amazing, I love it!",2,No,38,Negative
